Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Commerce,BCom,75.2,82.7,60,Yes,No,Not Placed
Arts,BA,75.16,61.16,61.15,Yes,No,Not Placed
Science,BSc,75,66.66,60,No,No,Not Placed
Professional,BVoc,75,70,60,No,No,Placed
Arts,BA,75,73,65,No,No,Placed
Arts,BA,75,74,68,Yes,No,Not Placed
Science,BSc,75,76,64.07,No,Yes,Placed
Science,BSc,75,78,66,No,Yes,Placed
Arts,BA,75,80,80,No,Yes,Placed
Arts,BA,75,80,80,Yes,No,Not Placed
Arts,BA,75,85,70,No,Yes,Placed
Commerce,BCom,75,85.3,71.833,No,Yes,Placed
Commerce,BCom,75,86,73,No,Yes,Placed
Arts,BA,75,87,57,No,No,Not Placed
Commerce,BCom,75,88.8,75,Yes,No,Not Placed
Commerce,BBA,75,89.5,53,No,Yes,Placed
Commerce,BCom,74.72,76,64.83,No,No,Placed
Commerce,BCom,74.56,75.17,66,No,Yes,Placed
Commerce,BCom,74.56,75.17,66,No,Yes,Placed
Commerce,BCom,74.56,81.4,58.75,Yes,Yes,Not Placed
Commerce,BCom,74.56,81.4,58.75,No,No,Not Placed
Arts,BA,74.5,79.5,59.3,Yes,No,Not Placed
Commerce,BBA,74.4,83,74.83,No,Yes,Placed
Commerce,BBA,74.4,83,52.165,No,Yes,Placed
Science,BCA,74.2,90.6,79.8,No,No,Placed
